codigo;descripcion
344;Entradas a museos, exposiciones, espectáculos.
345;Servicio de transporte público urbano.
349;Otros precios públicos.
350;Para la ejecución de obras.
351;Para el establecimiento o ampliación de servicios.
360;Ventas de libros. No existe en listado Hacienda.
364;Ventas por maquina expendedora. No existe en listado Hacienda.
380;Reintegro de avales.
388;Ejecución de aval incumplimiento contrato obras. No existe en listado Hacienda.
389;Otros reintegros de operaciones corrientes.
391;Multas.
392;Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo.
393;Intereses de demora.
394;Prestación personal.
395;Prestación de transporte.
396;Ingresos por actuaciones de urbanización.
397;Aprovechamientos urbanísticos.
398;Indemnizaciones de seguros de no vida.
399;Otros ingresos diversos.
420;De la Administración General del Estado.
421;De Organismos Autónomos y agencias estatales.
422;De fundaciones estatales.
423;De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos.
441;De sociedades mercantiles.
450;De la Administración General de las Comunidades Autónomas.
451;De Organismos Autónomos y agencias de las Comunidades Autónomas.
452;De fundaciones de las Comunidades Autónomas.
453;De sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.
461;De Diputaciones, Consejos o Cabildos.
462;De Ayuntamientos.
463;De Mancomunidades.
464;De Áreas Metropolitanas.
465;De Comarcas.
466;De otras Entidades que agrupen Municipios.
467;De Consorcios.
468;De Entidades locales Menores.
470;De empresas privadas. No existe en listado Hacienda.
480;Transferencias a Instituciones sin animo de lucro. No existe en listado Hacienda.
490;Del Fondo Social Europeo.
491;Del Fondo de Desarrollo Regional.
492;Del Fondo de Cohesión.
493;Del Fondo Europeo Agrícola de Garantía (FEAGA).
494;Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).
495;Del FEOGA-Orientación.
496;Del Fondo Europeo de la Pesca (FEP).
497;Otras transferencias de la Unión Europea.
499;Otras transferencias del exterior, excluyendo la Unión Europea.
500;Del Estado.
501;De Organismos Autónomos y agencias.
504;De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos.
505;De Comunidades Autónomas.
506;De Entidades locales.
507;De empresas privadas.
511;De Organismos Autónomos y agencias.
514;De sociedades mercantiles, entidades públicas empresariales y otros organismos públicos.
518;De familias e instituciones sin ánimo de lucro.
520;Intereses de depósitos. No existe en listado Hacienda.
531;De Organismos Autónomos y agencias.
534;De Sociedades mercantiles, entidades públicas empresariales y otros organismos públicos.
537;De empresas privadas.
541;Arrendamientos de fincas urbanas.
542;Arrendamientos de fincas rústicas.
544;Censos.
549;Otras rentas de bienes inmuebles.
550;De concesiones administrativas con contraprestación periódica.
551;De concesiones administrativas con contraprestación no periódica.
552;Derecho de superficie con contraprestación periódica.
553;Derecho de superficie con contraprestación no periódica.
554;Aprovechamientos agrícolas y forestales.
555;Aprovechamientos especiales con contraprestación.
559;Otras concesiones y aprovechamientos.
590;Patrocinio eventos de fiestas. No existe en listado Hacienda.
591;Beneficios por realización de inversiones financieras.
592;Ingresos por operaciones de intercambio financiero.
599;Otros ingresos patrimoniales.
600;Venta de solares.
601;Venta de fincas rústicas.
602;Parcelas sobrantes de la vía pública.
603;Patrimonio público del suelo.
609;Otros terrenos.
610;De las demás inversiones reales. No existe en listado Hacienda.
611;De inversiones de carácter inmaterial.
612;De objetos valiosos.
619;De otras inversiones reales.
680;De ejercicios cerrados.
720;De la Administración General del Estado.
721;De Organismos Autónomos y agencias estatales.
722;De fundaciones estatales.
723;De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos.
740;De entes públicos.
741;De sociedades mercantiles.
750;De la Administración General de las Comunidades Autónomas.
751;De Organismos Autónomos y agencias de las Comunidades Autónomas.
752;De fundaciones de las Comunidades Autónomas.
753;De sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.
761;De Diputaciones, Consejos o Cabildos.
762;De Ayuntamientos.
763;De Mancomunidades.
764;De Áreas Metropolitanas.
765;De Comarcas.
766;De otras Entidades que agrupen Municipios.
767;De Consorcios.
768;De Entidades locales Menores.
770;De empresas privadas. No existe en listado Hacienda.
780;De familias e instituciones sin fines de lucro. No existe en listado Hacienda.
790;Del Fondo Social Europeo.
791;Del Fondo de Desarrollo Regional.
792;Del Fondo de Cohesión.
793;Del Fondo Europeo Agrícola de Garantía (FEAGA).
794;Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).
795;Del FEOGA-Orientación.
796;Del Fondo Europeo de la Pesca (FEP).
797;Otras transferencias de la Unión Europea.
799;Otras transferencias del exterior, excluyendo la Unión Europea.
800;Enajenación de deuda del sector público a corto plazo.
801;Enajenación de deuda del sector público a largo plazo.
810;Enajenación de obligaciones y bonos fuera del sector público a corto plazo.
811;Enajenación de obligaciones y bonos fuera del sector público a largo plazo.
820;Reintegro de préstamos y anticipos concedidos al sector público a corto plazo.
821;Reintegro de préstamos y anticipos concedidos al sector público a largo plazo.
830;Reintegros de préstamos de fuera del sector público a corto plazo.
831;Reintegros de préstamos de fuera del sector público a largo plazo.
840;Devolución de depósitos.
841;Devolución de fianzas.
870;Remanente de tesorería.
900;Emisión de Deuda Pública en euros a corto plazo.
901;Emisión de Deuda Pública en euros a largo plazo.
910;Préstamos recibidos a corto plazo de entes del sector público.
911;Préstamos recibidos a largo plazo de entes del sector público.
912;Préstamos recibidos a corto plazo de entes de fuera del sector público.
913;Préstamos recibidos a largo plazo de entes de fuera del sector público.
920;Emisión de Deuda Pública en moneda distinta del euro a corto plazo.
921;Emisión de Deuda Pública en moneda distinta del euro a largo plazo.
930;Préstamos recibidos en moneda distinta del euro a corto plazo.
931;Préstamos recibidos en moneda distinta del euro a largo plazo.
940;Depósitos recibidos.
941;Fianzas recibidas.
